GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,Target
24,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1,60,0.3,1.6,1.8,0.8,1,0.4,1.1,0
56,12.1,4.6,1.8,3.4,52.8,0,0.2,0,1,1.5,67.5,0.7,0.7,1.3,0.4,0.7,0.1,0.4,1
59,25,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,0.9,0.2,1.6,0
77,30,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,0
39,9,4.9,2.1,4.4,46.5,0,0.1,0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,1
54.30285838,12.98058036,4.00857515,1.593715898,3.317717635,47.83028584,0,0,0,0.921143353,1.28171503,68.23371156,0.872572545,1.412000868,2.354287575,0.442286707,0.330285838,0.339428323,0.960571677,0
50,22.3,8.2,3,6.4,46.3,0.2,0.5,40,2,2.9,71.3,1.8,2.5,4.3,0.9,0.6,0.1,1.5,1
36,6.6,1.9,0.8,2.4,32.2,0,0.1,0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1
65,24.6,7.7,3.3,5.7,57.6,0,0,0,1.1,2,55.5,2.6,4.5,7.1,0.6,0.6,1,0.7,1
82,19.8,7.9,3.1,6.4,48.1,0,0,0,1.7,2.3,75.7,1.6,3.6,5.2,1.8,0.6,0.9,1.8,1
65.04209172,10.66386055,3.895790828,1.495790828,3.851233037,39.25297613,0,0.1,24.10595227,0.872278895,1.208418343,72.23265325,0.672278895,1.008418343,1.680697239,0.719302761,0.295790828,0.168069724,0.895790828,0
48,18.9,9.1,3.6,6.8,52.8,0,0,0,2,3,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1
42.27777367,14.37223002,4.238886837,1.783332102,5.072222633,35.03885729,0.1,0.644445265,16.03334318,0.544445265,0.744445265,73.05558428,0.2,1,1.2,1.683332102,0.444445265,0.172222633,1.016667898,0
66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,0
78,22.3,12.8,5.1,8.3,61.3,0,0,0,2.7,4.2,64.2,1.9,3.9,5.9,1.2,0.5,1.1,2.5,1
60,8.1,3.1,1.4,2.8,49.4,0,0,0,0.4,0.7,50,0.8,1.7,2.6,0.4,0.3,0.3,0.5,1
73,18.9,10.3,4,8.4,47.5,0,0.1,33.3,2.2,2.9,76.2,1,1,2,1,0.5,0.1,1.3,0
53,13.2,4.9,2.1,3.9,53.4,0,0,0,0.8,1,77.4,1.3,2.1,3.4,0.9,0.4,0.2,0.8,0
52,7.3,2.6,1,2.6,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1.3,0.3,0.2,0.1,0.6,1
49,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.3,0.6,0.8,1.4,0.5,0,1.1,0
65,23.2,8.4,3.6,8.1,44.6,0,0.2,21.4,1.1,1.6,70.2,2.1,3.3,5.4,0.9,0.8,1.1,1.5,1
50.65374074,13.14030555,4.886564816,1.886564816,4.273129632,44.51731296,0,0.017312963,0,1.04806111,1.513435184,72.44806111,0.530748147,1.392244442,1.922992589,0.869251853,0.4,0.24806111,0.917312963,0
76,15.4,5.7,2.1,4.8,42.9,0.6,1.7,33.6,1,1.4,75.7,0.4,1,1.3,2.2,1,0.3,1.1,1
51,19.8,5.1,1.7,4.5,38.2,0.8,2.3,36.4,0.9,1.1,78.6,0.3,1.9,2.2,2.5,0.8,0.1,1.6,0
49,13.1,3.9,1.6,4.2,38.3,0.3,1.3,24.2,0.4,0.5,73.1,0.8,2.1,2.9,0.6,0.3,0.3,0.3,0
39,5.8,1.5,0.5,1,51.3,0,0,0,0.5,0.5,90.5,0.5,0.6,1.2,0.2,0.1,0.1,0.1,1
53,16.1,5,1.7,4.2,41.4,1,2.6,39.6,0.5,0.6,90.3,0.2,1,1.2,1.3,0.4,0,0.6,0
46,12.1,3.9,1.6,3.5,46.9,0.4,1.1,36.5,0.2,0.4,55,0.7,1.1,1.8,0.5,0.1,0.2,0.5,1
59.59886766,9.561019107,3.319773532,1.459886766,3.638980893,40.18985137,0,0.040113234,0,0.459886766,0.819773532,53.10622788,0.619773532,0.779660298,1.359320595,0.720905873,0.480226468,0.1,0.940679405,0
18.69225992,6.719194941,2.434612996,0.917306498,2.434612996,37.34710523,0.508653249,1.591346751,32.56727545,0.191346751,0.291346751,59.1346751,0.3,0.8,1.091346751,0.08653249,0.125959747,0.117306498,0.325959747,0
53,7.4,2,0.8,1.8,43.9,0,0,0,0.4,0.7,59.5,0.3,0.6,1,0.9,0.4,0,0.8,1
47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,0
81,24.8,8.5,3.7,7.3,51.2,0,0,0,1.1,1.4,75.2,1.4,4.3,5.7,1.6,0.5,1.5,1.3,1
71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,1
65,9.6,5,2,3.6,54.3,0,0,0,1.1,1.7,64.2,0.7,0.9,1.6,0.5,0.3,0,0.8,1
35,11.3,2.4,0.8,2.3,35,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.3,0.1,0.7,0
48,20.1,7.7,2.9,6.3,45.7,0.3,1,28.3,1.6,2,79.6,0.6,1.4,2,0.9,1.1,0,1,0
44,11.45532699,2.760608799,1,3.040913198,32.28630203,0,0.019695601,0,0.760608799,0.950760998,78.56589061,0.821217597,1.671978596,2.493196193,0.918173604,0.3098478,0.180304399,0.719695601,0
68,13.3,5,1.8,4.8,37.2,0.4,1.3,35.3,0.9,1.4,66.7,0.7,1,1.8,0.5,0.4,0.3,0.8,0
68,24.5,8,3.3,5.7,57.3,0,0,0,1.4,2,69.6,2.2,5.1,7.3,0.6,0.6,1.4,0.5,1
42,8.1,3,1.1,2.9,37.2,0.1,0.6,24,0.8,1.2,65.3,0.4,0.4,0.8,0.4,0.3,0.1,0.4,0
79,39.5,20.9,7.9,18.9,41.7,0.8,2.7,29,4.4,5.8,75.4,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1
73,24.2,8,3.2,7.1,44.2,0.8,2.2,39,0.9,1.2,75.6,0.8,1.8,2.6,3.8,1.1,0.3,2.1,1
82,16.9,6.4,2.3,5.5,41.3,0,0.1,0,1.9,2.4,76,0.6,1.2,1.8,3.3,1.1,0,1.6,1
82,21.7,8.9,3.3,6.5,50.4,0,0,0,2.4,3.3,72.7,2.1,2.6,4.7,1.1,0.5,0.7,1.4,1
19,5.8,1.6,0.6,1.9,29.7,0.3,0.7,35.7,0.2,0.2,75,0.1,0.4,0.4,0.6,0.1,0.1,0.1,0
34,21.1,6.4,2.6,6,43.9,1,2.4,39.8,0.1,0.2,57.1,0.5,3.1,3.6,1.3,0.6,0.5,1.1,0
58.41721768,8.724504091,2.803973813,0.929139116,2.954304419,32.64834697,0.241721768,0.837747954,29.24106056,0.662252046,1.007947626,65.85496563,0.362252046,0.703973813,1.137086743,1.296026187,0.345695581,0.116556465,0.845695581,0
44,7.6,2.5,1,2.1,46.2,0,0.2,11.1,0.5,0.9,56.1,0.5,0.8,1.3,0.4,0.3,0,0.4,0
51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,0
51,15.1,5.7,2.2,5.2,41.2,0.3,0.8,32.5,1.1,1.6,69.1,0.4,1.3,1.7,2.1,0.7,0,1.4,0
82,26.9,9,3.8,7.7,49.4,0,0,0,1.4,2.1,64.6,2.8,4.7,7.5,0.9,0.6,1.3,1.4,1
48,10.11736431,3.690626108,1.527084072,3.390626108,43.65278467,0,0,0,0.690971976,1.036457964,68.45416814,0.709028024,1.163542036,1.818056048,0.6,0.409028024,0.254514012,0.836457964,0
64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,0
50,21.3,8.7,3.1,7.5,41.4,1.2,3.4,36.5,1.2,1.6,76.3,0.2,2.2,2.3,1.7,0.6,0.2,0.9,0
76,29.3,10.4,4,7.8,51.4,0,0,0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,1
78,14.3,4.9,1.9,3.9,49.2,0,0.1,0,1.1,1.6,66.9,1,2.4,3.3,1.3,0.4,0.2,1.3,1
43,9.6,3.4,1.3,2.8,48.3,0,0,0,0.7,0.8,88.2,0.9,1.2,2,0.2,0.3,0,0.6,0
79,15.6,7.8,2.5,5.2,48.3,0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1,0.1,2,1
21.89996795,6.969926287,2.139948721,0.929977565,2.519942311,35.36992629,0,0.449983975,8.999679507,0.369990385,0.65998718,52.96989424,0.289996795,0.72000641,1.010003205,0.999967951,0.189996795,0.12000641,0.729977565,0
71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,0
73,11,3.8,1.5,3.7,40.8,0.1,0.2,27.8,0.7,1,73.2,0.2,0.8,1.1,1.2,0.5,0.1,0.7,0
46.59568364,9.051079091,2.848920909,1.129784182,2.619136727,42.00431636,0,0,0,0.589352546,0.919136727,64.57007237,0.529784182,1.280863273,1.740431636,0.389352546,0.3,0.2,0.648920909,0
45,19.8,6,2.5,5,49.3,0,0.1,20,1,1.4,74.6,2,3.8,5.9,0.8,0.5,0.5,0.6,0
77,22.6,6,2.2,4.8,46,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,0
76.50929887,15.70148782,5.250185977,1.899628045,4.398884135,43.40446346,0.19925609,0.897024361,26.50781105,1.251301842,1.902231729,66.74907011,1.001859774,2.10148782,3.103347594,0.949814023,0.550185977,0.400371955,1.050185977,0
67,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,1
41,8.3,3.1,1.2,2.9,42.7,0,0,0,0.7,0.9,75,0.6,0.7,1.4,1.1,0.3,0,0.6,0
52,16.7,6.3,2.9,5.1,55.8,0,0,0,0.6,0.8,71.4,1.7,2.2,3.8,0.8,0.3,0.7,0.6,1
67,31.7,12.4,5.1,11.6,43.9,0.2,0.6,33.3,2.1,2.3,87.9,1,2.4,3.4,6.4,1.7,0.1,2.5,1
45,12.9,4,1.8,3.6,51.2,0,0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,1
36.25882467,15.22470422,5.015292858,1.89647013,5.215292858,36.64823507,0.225882467,0.877647402,26.02941234,0.922352598,1.19647013,77.70470325,0.474117533,0.974117533,1.361176299,2.844705195,0.848235065,0,1.39647013,0
47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1,0.7,0.3,0,0.6,0
82,26.5,5.9,2.1,6,35.2,1.1,3.2,35.5,0.6,0.8,73.1,0.3,2.3,2.6,4.9,1,0,1.4,1
77.73960438,16.36841611,6.717723068,2.847920877,6.01910915,46.90970258,0.073960438,0.346534794,25.29584175,0.972574356,1.297227835,74.78198093,1.027425644,1.828811726,2.85623737,1.145148712,0.398613918,0.250693041,1.173960438,0
78,36.6,15.4,5.5,13.2,41.6,0.4,1.4,31.8,4,4.8,82.4,1.7,3.4,5.1,2.7,1.8,0.4,2.5,1
53,11.5,5.6,2.4,5.1,46.6,0,0.1,0,0.9,1.6,56,1.1,1.1,2.2,0.4,0.2,0.2,1.4,1
47.17411195,17.53974705,5.635279881,2.156700757,4.730812709,44.87411195,0.3,1,27.30893434,1.021878367,1.421878367,73.40583964,0.930355219,2.391065657,3.321420876,0.73482239,0.604467171,0.412944024,0.83482239,0
35,6.2,3.3,1.3,3.1,43.5,0.1,0.3,40,0.5,0.5,88.9,0.3,0.4,0.7,0.3,0.2,0.2,0.6,0
81.81547966,32.46130085,18.63213661,7.636904068,14.4229106,53.36043245,0.464582119,1.312198392,33.91547966,2.912198392,3.658328477,80.96160974,2.735417881,7.386315421,10.1217333,2.046130085,0.764582119,1.570835761,2.35684229,0
33,15.6,3,1.3,4,31.8,0.2,1.1,16.7,0.3,0.5,52.9,0.4,1,1.4,2.5,0.4,0.1,0.7,0
53.58762038,27.95257223,11.59484183,4.37731775,10.07319121,43.64433287,0.759793673,2.378349384,33.390729,2.040206327,2.640206327,77.12371389,1.219587346,2.340206327,3.559793673,2.018555711,1.141237962,0.340206327,1.69793673,0
78,20.3,9.3,3.4,6.2,55.7,0,0,0,2.4,3.4,71.5,1.9,3.2,5.1,1,0.2,0.4,1.5,1
21.64282652,4.64640254,2.274996427,0.942855101,2.396423978,37.71427551,0,0.2,24.46431123,0.389286225,0.589286225,69.2,0.632141326,0.564282652,1.196423978,0.053568877,0.121427551,0.367858674,0.310713775,0
42,9.8,1.9,0.9,2,43,0,0,0,0.2,0.3,50,1,1.8,2.9,0.5,0.2,0.3,0.4,0
54,8,3.2,1.4,3.2,42.9,0,0.1,0,0.4,0.9,50,0.9,0.7,1.6,0.5,0.3,0.1,0.4,1
41,5.2,2,0.8,1.6,48.5,0,0,0,0.4,0.6,73.9,0.5,0.6,1,0.2,0.1,0.2,0.5,0
82,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75,0.8,2.1,2.9,1.6,0.8,0.3,1.6,1
64,15.3,3.9,1.6,3.6,43.7,0.1,0.3,40.9,0.7,1,64.6,0.5,1,1.5,2.4,0.6,0.2,1.6,1
53,14.5,6.9,2.7,6.7,40.1,0.4,1.2,31.1,1.1,1.5,72.8,0.3,0.9,1.2,1,0.5,0.1,1.1,1
61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,0
45.32604595,10.56150263,3.870247485,1.574619913,3.426045953,45.49277549,0,0.2,14.23830876,0.721007659,1.253612254,57.29344136,0.455798468,0.932604595,1.388403064,1.460836763,0.476806127,0.088403064,0.930418381,0
80,21.3,9.6,3.9,8.2,47.7,0,0.1,0,1.8,2.7,68.4,2,3.2,5.1,1.8,0.7,0.2,1.3,1
79,24,10.1,3.6,7.6,47.4,1.6,3.7,41.6,1.4,1.7,81,0.5,1.6,2.1,2.9,1.2,0.3,1.5,1
76.66608379,24.85763449,9.066958105,3.444638737,7.089452337,49.42109533,0,0.055536126,0,2.122144505,3.377680632,63.06590893,2.111247116,4.367132969,6.433916211,1.644463874,1.133566484,1.289102611,1.844463874,0
75,15.1,2.8,1,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,1.4,3.2,0.9,0.1,1.2,0
35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,1
51,5.7,2.2,0.7,1.5,47.4,0,0,0,0.7,0.9,78.3,0.4,1,1.4,0.2,0.2,0,0.5,1
44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,1
46,9.2,2.7,1.1,2.5,42.6,0,0,0,0.5,0.8,63.2,0.5,1.4,1.8,0.3,0.3,0.2,0.5,0
55.27943607,13.82315508,3.004788526,1.220957705,2.248901312,54.45109869,0,0,0,0.555887214,0.790816723,70.37864852,0.893014098,2.293014098,3.193014098,0.486028197,0.679042295,1.530140983,0.613971803,0
63,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,0
76,22.6,6.9,2.8,5.4,50.8,0,0,0,1.4,2.2,63.6,1.9,3.3,5.1,0.9,0.6,1.9,1.3,1
49,13.6,5.2,2,4.7,43.9,0,0,0,1.1,1.6,71.4,1.2,2.4,3.6,0.5,0.4,0.3,1.2,1
60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,1
78,22.6,7.5,2.8,6.1,46.2,0.4,1.2,32.3,1.5,1.9,77.7,1.7,3.2,4.9,1.2,0.7,0.8,1,1
39,10.4,2.7,1.1,1.7,66.2,0,0,0,0.5,0.5,90,0.6,1.9,2.5,0,0.2,0.4,0.3,1
22,10.6,2.5,0.8,3,27.7,0.5,1.9,26.2,0.3,0.4,87.5,0,1.6,1.6,0.5,0.3,0.1,0.4,0
50,8.7,2.5,1,2.6,38,0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1,1
79,33.8,11.7,4.2,10.8,38.5,0.9,3.3,27.2,2.4,3.5,69.8,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1
80,22.6,10.2,3.5,7.6,45.2,0,0,33.3,3.3,4.2,77.6,2.3,3.3,5.6,1,0.6,0.4,2,1
80,37,21.9,8,17.6,45.1,1.1,3.4,32.1,5,6.2,79.6,2.1,4.3,6.4,2.5,1.4,0.3,3.9,1
39,11.3,4.1,1.7,3.9,43.1,0.1,0.3,25,0.7,1,68.4,0.5,0.8,1.4,0.2,0.2,0.5,0.5,0
18,6.2,2.4,0.9,2.4,37.2,0.5,1.6,32.1,0.2,0.3,60,0.3,0.8,1.1,0,0.1,0.1,0.3,0
74,20.1,8.9,3.4,7.6,44.1,1.2,3.4,36.9,0.9,1.2,77,0.5,2.5,3,1.2,0.5,0.1,0.7,1
48.16789749,11.41752824,4.13917608,1.8,3.816789749,46.10485809,0,0,0,0.627982914,0.93917608,69.1958804,0.788806834,1.316789749,2.011193166,0.611193166,0.494403417,0.3,0.711193166,0
81,25.3,11.1,3.9,8.5,45.9,0,0.2,10.5,3.3,4.1,78.9,3.4,5.7,9.1,1,0.4,0.6,1.5,1
33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.5,0.2,0.3,0
62,9.8,4,1.4,2.8,47.7,0,0.1,14.3,1.2,1.6,76,0.4,0.8,1.2,1.1,0.4,0.1,0.9,1
62,13,3.5,1.4,3.2,42.9,0,0.1,33.3,0.8,1.1,70.1,0.3,1,1.4,1.7,0.6,0.1,0.9,1
54.78511796,21.83040289,7.896856619,2.957023591,7.092558979,42.00429764,0.008595282,0.125785845,25.08595282,1.878511796,2.769916514,67.38165518,2.031237746,3.039833028,5.071070774,2.052725951,0.687107077,0.478511796,1.865618873,0
48,19.2,5.7,2.3,4.9,47.6,0.2,0.5,38.5,0.9,1.3,68.3,1.2,2.5,3.6,1.1,0.8,0.4,0.8,1
44,8.3,2.4,1,2.5,40.4,0,0.2,0,0.4,0.5,81,0.1,0.5,0.6,2,0.4,0,0.9,0
52,7.3,2.8,1.1,2.4,45.5,0,0,0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,1
82,19.1,9.1,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55,1.3,2.4,3.8,0.9,0.7,0.7,1.6,1
47.79553475,9.190716609,3.097767373,1.159106949,2.838660424,40.23196254,0,0,0,0.779553475,1.179553475,68.24982356,0.681786102,1.102232627,1.763572203,0.661339576,0.279553475,0.240893051,0.938660424,0
74,20.5,9.3,4,8.7,45.9,0,0.1,9.1,1.3,2,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,1
81,21.4,7.7,2.7,5.2,50.8,0,0,0,2.4,3.7,64.2,2.3,3.9,6.2,0.7,0.6,1,1.3,1
59,9.7,3.7,1.2,2.8,42.3,0.1,0.4,32,1.3,1.5,83.3,0.2,0.6,0.7,1.6,0.3,0.1,1.1,1
36,8.8,2.3,0.9,1.7,53.2,0,0,0,0.5,1,48.6,0.8,0.8,1.6,0.4,0.3,0.2,0.6,1
80,22.6,9.3,3.6,8.4,43.1,0.8,2.1,38.2,1.3,1.8,71.7,1.4,1.8,3.2,1.3,0.8,0.3,1,1
61.96071434,14.84285736,5.064642907,2.032321453,3.520535756,57.70785713,0,0,0,0.948035717,1.796071434,54.73625002,1.624464322,2.664642907,4.293035795,0.440178585,0.248035717,0.348035717,0.644107151,0
79,23.32467404,10.66419258,4.416048146,9.064192584,48.58478768,0,0.038682715,0,1.870779007,2.864192584,65.60371112,1.970779007,3.170779007,5.08024073,0.845269139,0.561317285,0.870779007,1.716048146,0
59,22.2,8,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3,3.7,1.6,0.5,0.8,0.8,0
68,25.3,10.4,4.2,8.5,49.1,0,0.1,0,2.1,2.7,75.7,1.7,3.2,5,1.1,0.7,0.7,1.1,1
50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,0
25,14.2,3.7,1.4,3.8,36.2,0.7,2.2,30.4,0.3,0.4,77.8,0.3,1.2,1.4,0.7,0.6,0,0.4,0
19,12.8,3.3,1.2,3.1,39,0.1,0.5,20,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,0
81,37.9,23.4,9,16.1,56.2,0,0,0,5.3,8.9,59.2,4.2,9.6,13.9,1.9,0.7,3.5,3.8,1
55.76529059,10.1,2.606969942,1.076529059,2.345234471,45.45391182,0,0.046088177,0,0.507823647,0.86173547,58.77212023,0.607823647,1.085206411,1.646941882,0.714793589,0.330440883,0.369559117,0.922617236,0
62,20.4,5.1,1.8,3.6,49.3,0,0,0,1.6,2.6,60.6,2.3,2.9,5.2,0.5,0.3,1.5,0.8,1
78,27,10.8,4.1,9.7,42.2,0.7,1.8,36.4,1.9,2.7,72.7,1.2,3.3,4.5,1.3,0.9,0.9,1.8,1
42,6.9,3.6,1.5,3.6,43.3,0,0.2,0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,1
75,33.5,11.5,4.4,9.5,45.9,0.1,0.2,35.7,2.7,3.8,70.1,2.5,4.9,7.4,1,0.8,1.4,1.4,1
66,17,6.7,2.5,5.9,41.8,0.4,1.3,29.5,1.4,1.6,84.1,0.4,1.7,2,2.9,0.9,0.1,1.4,1
41.91953144,8.61265599,2.808046856,1.091953144,2.975859431,38.05171886,0.3,1.2,24.32187426,0.316093713,0.424140569,73.22757829,0.291953144,0.608046856,0.9,0.416093713,0.4,0.1,0.408046856,0
59,9.9,3.5,1.3,3.1,42.4,0,0,0,0.8,1.2,69.4,1,1.5,2.6,0.6,0.2,0.1,0.8,1
54,10.6,3.8,1.6,3.4,47.8,0,0,0,0.6,0.7,81.1,1,1.5,2.5,0.6,0.2,0.2,0.8,0
79.47289683,26.67239815,11.19507804,4.53694709,9.642367724,46.73644841,0,0.084236772,0,2.205420635,3.395078042,65.61918916,2.163551586,3.521183862,5.684735449,0.820685186,0.610342593,1.189657407,1.915763228,0
63,30.1,14.8,6,12.3,48.2,0,0.2,14.3,2.9,4.2,69.3,2.1,4.2,6.3,1.5,1.1,2.1,2.1,1
62.37945632,11.09796282,2.512309015,1.037436338,2.587181691,38.52614591,0.1,0.462563662,23.56205437,0.4,0.537436338,71.58718169,0.237436338,0.637436338,0.874872677,2.599490706,0.3,0.037436338,1.062563662,0
68,12.6,3.9,1.5,4.1,35.8,0.1,0.7,16.7,0.8,1,79.4,0.4,1.1,1.5,2.3,0.8,0,1.3,1
